term_id,title,definition
telar,"Amygdala","An almond-shaped structure deep within the brain's temporal lobe that plays a primary role in processing emotions, particularly detecting environmental threats and signaling the body to produce stress hormones like cortisol. According to Brooks (2020), its hyperactive survival responses in modern high-stress environments can be actively modulated and neutralized by loving social contact."
oxytocin,"Oxytocin","A powerful neuropeptide and hormone often synthesized in the brain in response to eye contact, supportive touch, and meaningful social bonding. Known biologically as the ""love molecule,"" it reduces anxiety and emotional stress by actively inhibiting the threat-response of the amygdala, fostering trust and deep attachment within a community."
plural-self,"Plural self",""
untitled-term,"Community Care","A manifestation of love where individuals within a shared social network or campus environment intentionally look out for each other's emotional and physical well-being. It moves beyond individualistic interaction to create a collective safety net, crucial for driving out fear in high-stress settings."
active-constructive-responding,"Active-Constructive Responding","The kindest and most effective relational response style identified by psychological research (Smith, 2014). It involves stopping what one is doing to engage wholeheartedly, authentically, and enthusiastically with a partner's or peer's good news, creating a vital opportunity for deep emotional bonding."
collective-resilience,"Collective Resilience","The shared capacity of a community - such as UCSB students - the ability to jointly cope with, resist and overcome high-pressure environments and academic anxiety. It is constructed through Intentional Connections of love in daily life and Shared Spaces."
intensely,"intensely","It characterizes an action that is performed with immense power, sharp focus, or exceptional strength."
emotional-bond,"emotional bond","An emotional bond is a deep, invisible connection between people built on a foundation of mutual trust, empathy, and shared experiences. It goes far beyond superficial liking; it's that profound sense of security where you feel truly seen, safe, and understood by another person. When this bond is strong, it acts like an emotional anchor, allowing you to share your vulnerabilities without fear of judgment and to intuitively feel a sense of closeness even when you are physically apart."
untitled-term,"Untitled term",""
intimacy-prevailed,"intimacy prevailed","It carries a beautiful, cinematic weight. It means that despite any barriers, awkwardness, arguments, or physical distance, a deep sense of closeness and emotional connection ultimately won the day."
manifestation,"manifestation","Manifestation is the physical or visible proof of something that was previously just an idea, a feeling, or an abstract concept. It is the moment an internal reality becomes an external fact."
